In CClientMusic::RegisterSteamMusicRemote callback size mismatch ! CallbackID 3221, size 4, expected size 1
ID 3003, Size 80, Sent in CClientJobSharedLibraryStopPlaying::BYieldingRunClientJob 
ID 3004, Size 72, Sent in CUser::UpdateSharedLibraries 
ID 3100, Size 272, Sent in CSteamEngine::PostCallbackToAllUI<NetworkDeviceStateChange_t> 
ID 3200, Size 4, Sent in CClientMusic::CallLocalLibraryRemoveAlbumFromCrawling 
ID 3201, Size 4, Sent in CClientMusic::CallLocalLibraryUpdateAlbumFromCrawling 
ID 3202, Size 1, Sent in CClientMusic::CallLocalLibraryCrawlingFinished 
ID 3203, Size 1, Sent in CClientMusic::CallLocalLibraryCrawlingInterrupted 
ID 3206, Size 1, Sent in CClientMusic::UpdateShuffled CPlaybackController::SetPlayingShuffled 
ID 3207, Size 1, Sent in CPlaybackController::AddTrackURIsToQueue CPlaybackController::EmptyQueue CPlaybackController::RemoveQueueEntry 
ID 3208, Size 1, Sent in CClientMusic::UpdateCurrentEntryText CPlaybackController::SetCurrentQueueEntryIndex 
ID 3209, Size 1, Sent in CPlaybackController::RunFrameCheckForPlayNext 
ID 3210, Size 4, Sent in CClientMusic::UpdateCurrentEntryElapsedSeconds CPlaybackController::RunFrameCheckForStatusChange 
ID 3213, Size 1, Sent in CClientMusic::CallLocalLibraryHasBeenReset 
ID 3214, Size 1, Sent in CClientMusic::CallLocalLibraryCrawlingWillStart 
ID 3215, Size 4, Sent in CClientMusic::CallLocalLibraryUpdateFromCrawling 
ID 3217, Size 1028, Sent in CPlaybackController::RemoveQueueEntry 
ID 3218, Size 1024, Sent in CClientMusic::CallLocalLibraryRemoveArtistFromCrawling 
ID 3220, Size 4, Sent in CClientMusic::CallLocalLibraryCrawlingMessage 
ID 3221, Size 4, Sent in CClientMusic::MarkTrackKeyAsPlayed CClientMusic::RegisterSteamMusicRemote 
ID 3222, Size 4, Sent in CClientMusic::DeregisterRemotePlayer 
ID 3223, Size 4, Sent in CClientMusic::ActivateRemotePlayerWithID 
ID 3224, Size 4, Sent in CClientMusic::SetDisplayName 
ID 3225, Size 4, Sent in CClientMusic::BActivationSuccess 
ID 3226, Size 20, Sent in CAlbumCoverController::LoadCoverCompleted 
ID 3227, Size 2056, Sent in CLocalMusicDatabase::BRequestAllArtistListData 
ID 3228, Size 4120, Sent in CLocalMusicDatabase::BRequestAllAlbumListData 
ID 3229, Size 3092, Sent in CLocalMusicDatabase::BRequestAllTracksListDataForAlbumID 
ID 3230, Size 1, Sent in CClientMusic::Enable 
ID 3231, Size 2080, Sent in CLocalMusicDatabase::BRequestAllPlayListData 
ID 3232, Size 3096, Sent in CLocalMusicDatabase::BRequestAllTracksListDataForPlaylistID 
ID 3233, Size 1028, Sent in CLocalMusicDatabase::RenamePlaylistWithID 
ID 3234, Size 8, Sent in CLocalMusicDatabase::InsertPlaylistWithNameAtPosition 
ID 3235, Size 4, Sent in CLocalMusicDatabase::DeletePlaylistWithID 
ID 3236, Size 8, Sent in CLocalMusicDatabase::MovePlaylistFromPositionToPosition 
ID 3237, Size 12, Sent in CLocalMusicDatabase::MoveTrackFromPositionToPositonInPlaylistID 
ID 3238, Size 8, Sent in CLocalMusicDatabase::RemovePlaylistPositionFromPlaylistID 
ID 3239, Size 4, Sent in CLocalMusicDatabase::RemoveAllTracksFromPlaylistID 
ID 3240, Size 4, Sent in CClientMusic::AppendQueueToPlaylistID CLocalMusicDatabase::AddAlbumIDToPlaylistIDAndNotify CLocalMusicDatabase::AddArtistNameToPlaylistID CLocalMusicDatabase::AddPlaylistIDToPlaylistID CLocalMusicDatabase::AddRandomTracksToPlaylistID CLocalMusicDatabase::AddTrackKeyToPlaylistID 
ID 3241, Size 4, Sent in CClientMusic::UpdateLooped CPlaybackController::SetPlayingRepeatStatus CPlaybackController::TogglePlayingRepeatStatus 
ID 3242, Size 4, Sent in CLocalMusicDatabase::UpdatePlaylistTrackCountAndDuration 
ID 3301, Size 8, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientAvailable_t> 
ID 3302, Size 8, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientOffline_t> 
ID 3303, Size 8, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientConnected_t> 
ID 3304, Size 8, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientDisconnected_t> 
ID 3305, Size 16, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientStartStream_t> 
ID 3306, Size 80, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientStartStreamResult_t> 
ID 3307, Size 16, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientAppStateChanged_t> 
ID 3308, Size 25, Sent in CRemoteClientStream::PostCallbackToUI<RemoteClientStreamLifetime_t> 
ID 3309, Size 272, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientStartStreamProgress_t> 
ID 3310, Size 60, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientAppUpdateInfoChanged_t> 
ID 3311, Size 532, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientStartStreamSession_t> 
ID 3312, Size 12, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientStopStreamSession_t> 
ID 3313, Size 16, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientRequestControllerConfig_t> 
ID 3315, Size 12, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientStreamingEnabledChanged_t> 
ID 3317, Size 136, Sent in CSteamEngine::PostCallbackToAllUsers<StreamingClientConnected_t> 
ID 3318, Size 128, Sent in CSteamEngine::PostCallbackToAllUsers<StreamingClientDisconnected_t> 
ID 3319, Size 128, Sent in CRemoteDeviceJobAuthorizeDevice::BYieldingRunClientJob CRemoteDeviceJobGetPairingInfo::BYieldingRunClientJob 
ID 3320, Size 1, Sent in CRemoteDeviceJobAuthorizeDevice::BYieldingRunClientJob CRemoteDeviceJobAuthorizeDevice::Cancel 
ID 3321, Size 2, Sent in CSteamEngine::PostCallbackToAllUI<CheckStreamingDriverSupport_t> 
ID 3322, Size 16, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientSessionAppIDChange_t> 
ID 3323, Size 4, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientPrepareStreamingAudio_t> 
ID 3324, Size 1, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientCancelStreamingAudio_t> 
ID 3325, Size 1, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientSiteAssociation_t> 
ID 3326, Size 4, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientStreamTransportSignal_t> 
ID 3327, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<RemoteDevicesChanged_t> 
ID 3328, Size 20, Sent in CRemoteClientJobRemotePlayInvite::SendInviteResult SteamClientJobLambda<CRemoteClientManager::JoinRemotePlaySession 
ID 3329, Size 11, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientInputSettingsChange_t> 
ID 3330, Size 12, Sent in CSteamEngine::PostCallbackToAllUsers<StreamingClientUsedInput_t> 
ID 3331, Size 1, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientStreamingDesktopToRemotePlayTogetherChange_t> 
ID 3332, Size 1, Sent in CSteamEngine::PostCallbackToAllUsers<PlaceholderStateChanged_t> 
ID 3333, Size 16, Sent in CSteamEngine::PostCallbackToAllUI<RemoteClientRemotePlayTogetherPlayerJoined_t> 
ID 3334, Size 16, Sent in CSteamEngine::PostCallbackToAllUI<RemoteClientRemotePlayTogetherPlayerLeft_t> 
ID 3335, Size 1, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientRemotePlayClearControllers_t> 
ID 3336, Size 12, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientRemotePlayControllerIndexSet_t> 
ID 3337, Size 1, Sent in CSteamEngine::PostCallbackToAllUsers<RemoteClientRemotePlayUIMovedController_t> 
ID 3405, Size 12, Sent in CAppWorkshopContent::DoStateTransaction 
ID 3406, Size 16, Sent in CAppWorkshopContent::DownloadRequestResult 
ID 3501, Size 1, Sent in CRemoteClientStream::PostCallback<StreamClientRaiseWindow_t> 
ID 3502, Size 4, Sent in CRemoteClientStream::PostCallback<StreamClientShutdown_t> CRemoteClientStream::PostCallbackToUI<StreamClientResult_t> 
ID 3503, Size 1, Sent in CRemoteClientStream::PostCallback<StreamClientConfigUpdated_t> 
ID 3701, Size 8, Sent in CUserShortcuts::OnShortcutChanged 
ID 3702, Size 8, Sent in CUserShortcuts::OnShortcutChanged CUserShortcuts::RemoveShortcut 
ID 3901, Size 4, Sent in CSteamEngine::PostCallbackToAllUsers<SteamAppInstalled_t> 
ID 3902, Size 4, Sent in CSteamEngine::PostCallbackToAllUsers<SteamAppUninstalled_t> 
ID 4001, Size 1, Sent in CClientMusic::UpdatePlaybackStatus CPlaybackController::RunFrameCheckForStatusChange 
ID 4002, Size 4, Sent in CClientMusic::UpdateVolume CPlaybackController::SetVolume 
ID 4011, Size 4, Sent in CClientMusic::SetVolume 
ID 4101, Size 1, Sent in CClientMusic::ActivateRemotePlayerWithID 
ID 4102, Size 1, Sent in CClientMusic::ActivateRemotePlayerWithID 
ID 4105, Size 1, Sent in CClientMusic::Play 
ID 4106, Size 1, Sent in CClientMusic::Pause 
ID 4107, Size 1, Sent in CClientMusic::PlayPrevious 
ID 4108, Size 1, Sent in CClientMusic::PlayNext 
ID 4109, Size 1, Sent in CClientMusic::SetPlayingShuffled 
ID 4114, Size 4, Sent in CClientMusic::SetPlayingRepeatStatus 
ID 4200, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<VRRuntimeUpdated_t> 
ID 4201, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<VRModeChanged_t> 
ID 4202, Size 1, Sent in CSteamEngine::PostCallbackToAllUI<VRModeExitRequest_t> 
ID 4203, Size 4, Sent in CSteamEngine::PostCallbackToAllUI<VRPathChanged_t> 
ID 4207, Size 4, Sent in CSteamEngine::PostCallbackToAllUI<VRProcessQuit_t> 
ID 4208, Size 4, Sent in CSteamEngine::PostCallbackToAllUI<VR2DOverlayGameLaunched_t> 
ID 4302, Size 12, Sent in CClientUserGameNotifications::RemoveSession 
ID 4303, Size 4124, Sent in CClientUserGameNotifications::OnGetSessionDetails 
ID 4601, Size 12, Sent in CClientJobBeginBroadcastSession::BYieldingRunClientJob 
ID 4602, Size 12, Sent in CClientJobEndBroadcastSession::BYieldingRunClientJob 
ID 4604, Size 1, Sent in CBroadcastClient_BroadcastUploadStarted_Job::YieldingRunMethod 
ID 4605, Size 4, Sent in CBroadcastClient_StopBroadcastUpload_Job::YieldingRunMethod 
ID 4606, Size 4, Sent in CClientJobWatchBroadcast::BYieldingRunClientJob 
ID 4607, Size 4, Sent in CClientJobInviteToBroadcast::BYieldingRunClientJob 
ID 4609, Size 8, Sent in CClientVideo::BroadcastFirstTimeComplete CClientVideo::HandleViewerStateNotification 
ID 4610, Size 16, Sent in CClientVideo::IgnoreApprovalRequest CClientVideo::InviteToBroadcast 
ID 4611, Size 264, Sent in CClientJobGetVideoURL::BYieldingRunClientJob 
ID 4612, Size 8, Sent in CBroadcastClient_ViewerBroadcastInvite_Job::YieldingRunMethod 
ID 4613, Size 1, Sent in CClientVideo::LoadBroadcastSettings 
ID 4614, Size 8, Sent in CClientVideo::HandleViewerStateNotification 
ID 4615, Size 20, Sent in CClientVideo::PostBroadcastStatusCallback 
ID 4616, Size 292, Sent in CClientJobListenToBroadcastChat::BYieldingRequestNextChatSegment 
ID 4617, Size 20, Sent in CClientJobUploadBroadcast::StatusCallbackIfNecessary 
ID 4618, Size 4, Sent in CClientJobUploadBroadcast::RecvPkt 
ID 4619, Size 260, Sent in CClientJobUnlockH264::BYieldingRunClientJob CVideoClient_UnlockedH264_Job::YieldingRunMethod UpdateVideoDecodersUnlocked 
ID 4620, Size 4, Sent in CClientVideo::BroadcastRecorderError 
ID 4621, Size 4, Sent in CBroadcastClient_StopBroadcastUpload_Job::YieldingRunMethod 
ID 4622, Size 2, Sent in CClientVideo::SetMicrophoneState 
ID 4624, Size 8, Sent in CClientJobGetOPFSettings::BYieldingRunClientJob 
ID 4625, Size 1, Sent in CClientJobUploadBroadcastThumbnail::BYieldingRunClientJob 
ID 4626, Size 4, Sent in CClientJobUploadBroadcastThumbnail::StopUploading 
ID 4627, Size 16, Sent in CClientVideo::WebRTCStartSession 
ID 4628, Size 1, Sent in CClientVideo::WebRTCStopSession 
ID 4629, Size 1, Sent in CBroadcastClient_WebRTCAnswer_Job::YieldingRunMethod 
ID 4630, Size 1284, Sent in CClientVideo::WebRTCAddRemoteCandidate 
ID 4631, Size 264, Sent in CBroadcastClient_BroadcastChannelLive_Job::YieldingRunMethod 
ID 4700, Size 8, Sent in CClientInventory::GetAllItems CClientInventory::OnMicroTransactionAuthResponse CClientInventoryAsyncJob::PostCallbacks CInventoryClientJob_NotifyNewItems::YieldingRunMethod 
ID 4701, Size 4, Sent in CClientInventory::GetAllItems 
ID 4702, Size 1, Sent in CClientInventoryAsyncJob::YieldingRefreshItemDefs 
ID 4901, Size 4, Sent in CClientSharedConnection::DispatchMessageToConnection 
ID 5001, Size 1, Sent in CUser::NotifyParentalLockChanged CUser::OnSetParentalSettingsResponse 
ID 5201, Size 36, Sent in CAPIJobGameSearch::BYieldingRunAPIJob 
ID 5202, Size 32, Sent in CAPIJobGameSearch::BYieldingRunAPIJob 
ID 5211, Size 12, Sent in CAPIJobHostSearch::BYieldingRunAPIJob 
ID 5212, Size 56, Sent in CAPIJobHostSearch::BYieldingRunAPIJob 
ID 5213, Size 20, Sent in CAPIJobHostSearch::BYieldingRunAPIJob 
ID 5305, Size 1, Sent in CClientParties::OnChatGroupUserStateChanged 
ID 5306, Size 1, Sent in CClientParties::OnChatGroupHeaderChange 
ID 5701, Size 4, Sent in CSteamEngine::PostCallbackToAllUsers<SteamRemotePlaySessionConnected_t> 
ID 5702, Size 4, Sent in CSteamEngine::PostCallbackToAllUsers<SteamRemotePlaySessionDisconnected_t> 
ID 5901, Size 20, Sent in CClientJobRequestChatRoomSubscription::ResolveAndPostCallback 
ID 5902, Size 20, Sent in CClientJobChatRoomGetMessageHistory::BYieldingRunAPIJob 
ID 5903, Size 24, Sent in CClientJobChatRoomSendSubscribedChatMessage::BYieldingRunAPIJob 
ID 5904, Size 548, Sent in CClientJobChatRoomGetMessageHistory::PostHistoryMessageCallbacks CUser::OnNewGroupChatMsgAdded 
ID 5905, Size 28, Sent in CUser::OnGroupChatUserStateChange 
ID 5906, Size 540, Sent in CClientJobRequestChatRoomSubscription::PostInitialUsersInChannelCallback 
